Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
EK,2345,2024-03-12 13:05:00,2024-03-12 12:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,2024-03-12 13:05:00,2024-03-12 12:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
W4,8396,2024-03-12 12:05:00,2024-03-12 13:00:00,D,FCO,ROME,ITALY,3,DEPARTED
HU,744,2024-03-12 12:10:00,2024-03-12 13:11:00,D,SZX,SHENZHEN,CHINA,3,DEPARTED
A3,927,2024-03-12 12:50:00,2024-03-12 13:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,4978,2024-03-12 12:50:00,2024-03-12 13:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED
FB,1514,2024-03-12 12:50:00,2024-03-12 13:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED
JU,7621,2024-03-12 12:50:00,2024-03-12 13:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LY,574,2024-03-12 13:25:00,2024-03-12 13:22:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
AM,7871,2024-03-12 13:00:00,2024-03-12 13:24:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AR,7855,2024-03-12 13:00:00,2024-03-12 13:24:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6455,2024-03-12 13:00:00,2024-03-12 13:24:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7430,2024-03-12 13:00:00,2024-03-12 13:24:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,007,2024-03-12 13:00:00,2024-03-12 13:24:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
IZ,281,2024-03-12 13:10:00,2024-03-12 13:31:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
ET,418,2024-03-12 13:35:00,2024-03-12 13:34:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8808,2024-03-12 13:35:00,2024-03-12 13:34:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
