CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-03-12T15:20:00,2024-03-12T15:20:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AZ,807,ITALIA TRASPORTO AEREO,2024-03-12T15:20:00,2024-03-12T15:20:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,ON TIME,בזמן
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-03-12T15:20:00,2024-03-12T15:20:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7431,DELTA AIRLINES,2024-03-12T15:20:00,2024-03-12T15:20:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
JU,7379,AIR SERBIA,2024-03-12T15:20:00,2024-03-12T15:20:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,ON TIME,בזמן
LY,008,EL AL ISRAEL AIRLINES,2024-03-12T15:20:00,2024-03-12T15:20:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-03-12T15:35:00,2024-03-12T15:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,2372,EL AL ISRAEL AIRLINES,2024-03-12T15:35:00,2024-03-12T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3154,SAS,2024-03-12T15:35:00,2024-03-12T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
OS,858,AUSTRIAN AIRLINES,2024-03-12T15:40:00,2024-03-12T15:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,ON TIME,בזמן
TO,3453,TRANSAVIA FRANCE,2024-03-12T15:40:00,2024-03-12T15:40:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
W6,4427,WIZZAIR,2024-03-12T15:40:00,2024-03-12T15:40:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,387,EL AL ISRAEL AIRLINES,2024-03-12T15:45:00,2024-03-12T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,ON TIME,בזמן
