CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
AM,7850,AERO MEXICO,2024-03-18T02:55:00,2024-03-18T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
LY,336,EL AL ISRAEL AIRLINES,2024-03-18T02:55:00,2024-03-18T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
SK,3152,SAS,2024-03-18T02:55:00,2024-03-18T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,NOT FINAL,לא סופי
A3,928,AEGEAN  AIRLINES,2024-03-18T03:00:00,2024-03-18T03:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
FB,1528,BULGARIA  AIR,2024-03-18T03:00:00,2024-03-18T03:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,NOT FINAL,לא סופי
LY,5408,EL AL ISRAEL AIRLINES,2024-03-18T02:45:00,2024-03-18T03:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,DELAYED,עיכוב
LY,376,EL AL ISRAEL AIRLINES,2024-03-18T03:25:00,2024-03-18T03:25:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,NOT FINAL,לא סופי
TP,8913,AIR PORTUGAL,2024-03-18T03:25:00,2024-03-18T03:25:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-03-18T03:35:00,2024-03-18T03:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,NOT FINAL,לא סופי
LO,151,LOT POLISH AIRLINES,2024-03-18T03:45:00,2024-03-18T03:45:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,NOT FINAL,לא סופי
LY,9256,EL AL ISRAEL AIRLINES,2024-03-18T03:45:00,2024-03-18T03:45:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,NOT FINAL,לא סופי
AM,7854,AERO MEXICO,2024-03-18T03:55:00,2024-03-18T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
LY,326,EL AL ISRAEL AIRLINES,2024-03-18T03:55:00,2024-03-18T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
SK,3158,SAS,2024-03-18T03:55:00,2024-03-18T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,NOT FINAL,לא סופי
6H,724,ISRAIR AIRLINES,2024-03-18T04:00:00,2024-03-18T04:00:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,NOT FINAL,לא סופי
IB,2391,IBERIA,2024-03-18T04:05:00,2024-03-18T04:05:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,NOT FINAL,לא סופי
