CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE
TO,3456,TRANSAVIA FRANCE,2024-03-10 14:25:00,2024-03-10 14:25:00,A,ORY,PARIS-ORLY,PARIS,FRANCE,3,,,NOT FINAL
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-03-10 14:30:00,2024-03-10 14:30:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
LY,386,EL AL ISRAEL AIRLINES,2024-03-10 14:30:00,2024-03-10 14:30:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
LY,355,EL AL ISRAEL AIRLINES,2024-03-10 14:35:00,2024-03-10 14:35:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,78-99,D,ON TIME
LY,5129,EL AL ISRAEL AIRLINES,2024-03-10 14:35:00,2024-03-10 14:35:00,D,RMO,CHISINAU,CHISINAU,MOLDOVA,3,78-99,D,ON TIME
SK,3179,SAS,2024-03-10 14:35:00,2024-03-10 14:35:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,78-99,D,ON TIME
UX,1301,AIR EUROPA,2024-03-10 14:35:00,2024-03-10 14:35:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
LY,327,EL AL ISRAEL AIRLINES,2024-03-10 14:45:00,2024-03-10 14:45:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
NH,5621,ALL NIPPON AIRWAYS,2024-03-10 14:45:00,2024-03-10 14:45:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,,,NOT FINAL
OS,857,AUSTRIAN AIRLINES,2024-03-10 14:45:00,2024-03-10 14:45:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,,,NOT FINAL
SK,3159,SAS,2024-03-10 14:45:00,2024-03-10 14:45:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
LY,2366,EL AL ISRAEL AIRLINES,2024-03-10 14:55:00,2024-03-10 14:55:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
W6,4427,WIZZAIR,2024-03-10 14:55:00,2024-03-10 14:55:00,A,SOF,SOFIA,SOFIA,BULGARIA,3,,,NOT FINAL
U8,108,TUS AIRWAYS,2024-03-10 15:00:00,2024-03-10 15:00:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
WZ,018,RED WINGS AIRLINES,2024-03-10 15:00:00,2024-03-10 15:00:00,D,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,42-44,B,ON TIME
LY,348,EL AL ISRAEL AIRLINES,2024-03-10 15:05:00,2024-03-10 15:05:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,,,NOT FINAL
SK,3188,SAS,2024-03-10 15:05:00,2024-03-10 15:05:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,,,NOT FINAL
LY,546,EL AL ISRAEL AIRLINES,2024-03-10 15:10:00,2024-03-10 15:10:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
LY,972,EL AL ISRAEL AIRLINES,2024-03-10 15:10:00,2024-03-10 15:10:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
AC,9020,AIR CANADA,2024-03-10 15:15:00,2024-03-10 15:15:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
LH,686,LUFTHANSA,2024-03-10 15:15:00,2024-03-10 15:15:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
NH,5459,ALL NIPPON AIRWAYS,2024-03-10 15:15:00,2024-03-10 15:15:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
SN,7173,BRUSSELS AIRLINES,2024-03-10 15:15:00,2024-03-10 15:15:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
UA,9120,UNITED AIRLINES,2024-03-10 15:15:00,2024-03-10 15:15:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
AR,7211,AEROLINEAS ARGENTINAS S.A.,2024-03-10 15:20:00,2024-03-10 15:20:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,7-11,A,ON TIME
AZ,807,ITALIA TRASPORTO AEREO,2024-03-10 15:20:00,2024-03-10 15:20:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,7-11,A,ON TIME
JU,7379,AIR SERBIA,2024-03-10 15:20:00,2024-03-10 15:20:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,7-11,A,ON TIME
LO,153,LOT POLISH AIRLINES,2024-03-10 15:20:00,2024-03-10 15:20:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,NOT FINAL
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-03-10 15:30:00,2024-03-10 15:30:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,,,NOT FINAL
DL,7442,DELTA AIRLINES,2024-03-10 15:30:00,2024-03-10 15:30:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,,,NOT FINAL
LY,026,EL AL ISRAEL AIRLINES,2024-03-10 15:30:00,2024-03-10 15:30:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,,,NOT FINAL
LY,2372,EL AL ISRAEL AIRLINES,2024-03-10 15:35:00,2024-03-10 15:35:00,A,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,,,NOT FINAL
SK,3154,SAS,2024-03-10 15:35:00,2024-03-10 15:35:00,A,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,,,NOT FINAL
TO,3457,TRANSAVIA FRANCE,2024-03-10 15:35:00,2024-03-10 15:35:00,D,ORY,PARIS-ORLY,PARIS,FRANCE,3,1-4,A,ON TIME
OS,858,AUSTRIAN AIRLINES,2024-03-10 15:40:00,2024-03-10 15:40:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,22-33,A,ON TIME
AM,7865,AERO MEXICO,2024-03-10 15:45:00,2024-03-10 15:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
AR,7857,AEROLINEAS ARGENTINAS S.A.,2024-03-10 15:45:00,2024-03-10 15:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
BZ,462,BLUE BIRD AIRWAYS,2024-03-10 15:45:00,2024-03-10 15:45:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,12-14,A,ON TIME
B6,6457,JETBLUE AIRWAYS CORPORATION,2024-03-10 15:45:00,2024-03-10 15:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
DL,7432,DELTA AIRLINES,2024-03-10 15:45:00,2024-03-10 15:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
LY,011,EL AL ISRAEL AIRLINES,2024-03-10 15:45:00,2024-03-10 15:45:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
W6,4428,WIZZAIR,2024-03-10 15:45:00,2024-03-10 15:45:00,D,SOF,SOFIA,SOFIA,BULGARIA,3,18-21,A,ON TIME
IZ,417,ARKIA  ISRAELI  AIRLINES,2024-03-10 15:50:00,2024-03-10 15:50:00,D,TBS,TBILISI,TBILISI,GEORGIA,3,45-49,B,ON TIME
6H,662,ISRAIR AIRLINES,2024-03-10 15:50:00,2024-03-10 15:50:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
AF,963,AIR FRANCE,2024-03-10 15:55:00,2024-03-10 15:55:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,34-40,B,ON TIME
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-03-10 15:55:00,2024-03-10 15:55:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
LY,343,EL AL ISRAEL AIRLINES,2024-03-10 15:55:00,2024-03-10 15:55:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,78-99,D,ON TIME
SK,3191,SAS,2024-03-10 15:55:00,2024-03-10 15:55:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,78-99,D,ON TIME
U8,109,TUS AIRWAYS,2024-03-10 15:55:00,2024-03-10 15:55:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,14-17,A,ON TIME
LY,346,EL AL ISRAEL AIRLINES,2024-03-10 16:00:00,2024-03-10 16:00:00,A,GVA,GENEVA,GENEVA,SWITZERLAND,3,,,NOT FINAL
LY,358,EL AL ISRAEL AIRLINES,2024-03-10 16:00:00,2024-03-10 16:00:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,NOT FINAL
LY,382,EL AL ISRAEL AIRLINES,2024-03-10 16:00:00,2024-03-10 16:00:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,,,NOT FINAL
SK,3184,SAS,2024-03-10 16:00:00,2024-03-10 16:00:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,,,NOT FINAL
LH,680,LUFTHANSA,2024-03-10 16:05:00,2024-03-10 16:05:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,NOT FINAL
SN,7171,BRUSSELS AIRLINES,2024-03-10 16:05:00,2024-03-10 16:05:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,NOT FINAL
UA,9471,UNITED AIRLINES,2024-03-10 16:05:00,2024-03-10 16:05:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,NOT FINAL
UX,1302,AIR EUROPA,2024-03-10 16:05:00,2024-03-10 16:05:00,D,MAD,MADRID,MADRID,SPAIN,3,56-62,C,ON TIME
AM,7851,AERO MEXICO,2024-03-10 16:10:00,2024-03-10 16:10:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
AM,7856,AERO MEXICO,2024-03-10 16:10:00,2024-03-10 16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-03-10 16:10:00,2024-03-10 16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-03-10 16:10:00,2024-03-10 16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
DL,7431,DELTA AIRLINES,2024-03-10 16:10:00,2024-03-10 16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
LY,008,EL AL ISRAEL AIRLINES,2024-03-10 16:10:00,2024-03-10 16:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
LY,339,EL AL ISRAEL AIRLINES,2024-03-10 16:10:00,2024-03-10 16:10:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
SK,3151,SAS,2024-03-10 16:10:00,2024-03-10 16:10:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
LY,363,EL AL ISRAEL AIRLINES,2024-03-10 16:15:00,2024-03-10 16:15:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,78-99,D,ON TIME
LH,687,LUFTHANSA,2024-03-10 16:20:00,2024-03-10 16:20:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,22-33,A,ON TIME
SN,7174,BRUSSELS AIRLINES,2024-03-10 16:20:00,2024-03-10 16:20:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,22-33,A,ON TIME
UA,9123,UNITED AIRLINES,2024-03-10 16:20:00,2024-03-10 16:20:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,22-33,A,ON TIME
LY,2522,EL AL ISRAEL AIRLINES,2024-03-10 16:25:00,2024-03-10 16:25:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,,,NOT FINAL
LO,154,LOT POLISH AIRLINES,2024-03-10 16:30:00,2024-03-10 16:30:00,D,WAW,WARSAW,WARSAW,POLAND,3,63-66,C,ON TIME
LY,5284,EL AL ISRAEL AIRLINES,2024-03-10 16:30:00,2024-03-10 16:30:00,A,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,,,NOT FINAL
6H,048,ISRAIR AIRLINES,2024-03-10 16:30:00,2024-03-10 16:30:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
AA,9258,AMERICAN AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
AM,7853,AERO MEXICO,2024-03-10 16:40:00,2024-03-10 16:40:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
IB,2393,IBERIA,2024-03-10 16:40:00,2024-03-10 16:40:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,NOT FINAL
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,ON TIME
LY,2373,EL AL ISRAEL AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,78-99,D,ON TIME
LY,320,EL AL ISRAEL AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
LY,325,EL AL ISRAEL AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
LY,338,EL AL ISRAEL AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,,,NOT FINAL
LY,394,EL AL ISRAEL AIRLINES,2024-03-10 16:40:00,2024-03-10 16:40:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,NOT FINAL
SK,3150,SAS,2024-03-10 16:40:00,2024-03-10 16:40:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,,,NOT FINAL
AM,7877,AERO MEXICO,2024-03-10 17:00:00,2024-03-10 17:00:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
LY,317,EL AL ISRAEL AIRLINES,2024-03-10 17:00:00,2024-03-10 17:00:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
LY,387,EL AL ISRAEL AIRLINES,2024-03-10 17:00:00,2024-03-10 17:00:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,78-99,D,ON TIME
SK,3183,SAS,2024-03-10 17:00:00,2024-03-10 17:00:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,78-99,D,ON TIME
LH,681,LUFTHANSA,2024-03-10 17:10:00,2024-03-10 17:10:00,D,MUC,MUNICH,MUNICH,GERMANY,3,22-33,A,ON TIME
LX,252,SWISS INT`L  AIRLINES,2024-03-10 17:10:00,2024-03-10 17:10:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,,,NOT FINAL
LY,2367,EL AL ISRAEL AIRLINES,2024-03-10 17:10:00,2024-03-10 17:10:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,78-99,D,ON TIME
LY,312,EL AL ISRAEL AIRLINES,2024-03-10 17:10:00,2024-03-10 17:10:00,A,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,,,NOT FINAL
SN,7172,BRUSSELS AIRLINES,2024-03-10 17:10:00,2024-03-10 17:10:00,D,MUC,MUNICH,MUNICH,GERMANY,3,22-33,A,ON TIME
AM,7866,AERO MEXICO,2024-03-10 17:15:00,2024-03-10 17:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-03-10 17:15:00,2024-03-10 17:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
IB,2396,IBERIA,2024-03-10 17:15:00,2024-03-10 17:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
LY,351,EL AL ISRAEL AIRLINES,2024-03-10 17:15:00,2024-03-10 17:15:00,D,MUC,MUNICH,MUNICH,GERMANY,3,78-99,D,ON TIME
LY,397,EL AL ISRAEL AIRLINES,2024-03-10 17:15:00,2024-03-10 17:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
IZ,281,ARKIA  ISRAELI  AIRLINES,2024-03-10 17:20:00,2024-03-10 17:20:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,41-45,B,ON TIME
BZ,703,BLUE BIRD AIRWAYS,2024-03-10 17:25:00,2024-03-10 17:25:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
LY,5109,EL AL ISRAEL AIRLINES,2024-03-10 17:30:00,2024-03-10 17:30:00,D,TBS,TBILISI,TBILISI,GEORGIA,3,78-99,D,ON TIME
6H,711,ISRAIR AIRLINES,2024-03-10 17:30:00,2024-03-10 17:30:00,D,VAR,VARNA,VARNA,BULGARIA,3,52-55,B,ON TIME
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-10 17:35:00,2024-03-10 17:35:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
LY,2523,EL AL ISRAEL AIRLINES,2024-03-10 17:45:00,2024-03-10 17:45:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,78-99,D,ON TIME
AA,9266,AMERICAN AIRLINES,2024-03-10 17:50:00,2024-03-10 17:50:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
AM,7859,AERO MEXICO,2024-03-10 17:50:00,2024-03-10 17:50:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-03-10 17:50:00,2024-03-10 17:50:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
IB,2390,IBERIA,2024-03-10 17:50:00,2024-03-10 17:50:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,78-99,D,ON TIME
IB,2395,IBERIA,2024-03-10 17:50:00,2024-03-10 17:50:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
LY,391,EL AL ISRAEL AIRLINES,2024-03-10 17:50:00,2024-03-10 17:50:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,78-99,D,ON TIME
LY,396,EL AL ISRAEL AIRLINES,2024-03-10 17:50:00,2024-03-10 17:50:00,A,MAD,MADRID,MADRID,SPAIN,3,,,NOT FINAL
LY,571,EL AL ISRAEL AIRLINES,2024-03-10 17:50:00,2024-03-10 17:50:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,78-99,D,ON TIME
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-03-10 18:00:00,2024-03-10 18:00:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
LY,383,EL AL ISRAEL AIRLINES,2024-03-10 18:00:00,2024-03-10 18:00:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
TP,8900,AIR PORTUGAL,2024-03-10 18:00:00,2024-03-10 18:00:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
6H,721,ISRAIR AIRLINES,2024-03-10 18:00:00,2024-03-10 18:00:00,D,SOF,SOFIA,SOFIA,BULGARIA,3,49-52,B,ON TIME
IZ,1294,ARKIA  ISRAELI  AIRLINES,2024-03-10 18:10:00,2024-03-10 18:10:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
B6,6470,JETBLUE AIRWAYS CORPORATION,2024-03-10 18:15:00,2024-03-10 18:15:00,A,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,,,NOT FINAL
DL,7451,DELTA AIRLINES,2024-03-10 18:15:00,2024-03-10 18:15:00,A,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,,,NOT FINAL
LY,118,EL AL ISRAEL AIRLINES,2024-03-10 18:15:00,2024-03-10 18:15:00,A,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,,,NOT FINAL
BZ,704,BLUE BIRD AIRWAYS,2024-03-10 18:20:00,2024-03-10 18:20:00,D,ATH,ATHENS,ATHENS,GREECE,3,12-14,A,ON TIME
LX,253,SWISS INT`L  AIRLINES,2024-03-10 18:20:00,2024-03-10 18:20:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,21-33,A,ON TIME
IZ,161,ARKIA  ISRAELI  AIRLINES,2024-03-10 18:35:00,2024-03-10 18:35:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,38-41,B,ON TIME
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-03-10 18:55:00,2024-03-10 18:55:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
5F,447,FLYONE,2024-03-10 18:55:00,2024-03-10 18:55:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,,,NOT FINAL
6H,726,ISRAIR AIRLINES,2024-03-10 18:55:00,2024-03-10 18:55:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
B6,6460,JETBLUE AIRWAYS CORPORATION,2024-03-10 19:10:00,2024-03-10 19:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
DL,7434,DELTA AIRLINES,2024-03-10 19:10:00,2024-03-10 19:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
IZ,363,ARKIA  ISRAELI  AIRLINES,2024-03-10 19:10:00,2024-03-10 19:10:00,D,SOF,SOFIA,SOFIA,BULGARIA,3,34-38,B,ON TIME
LY,014,EL AL ISRAEL AIRLINES,2024-03-10 19:10:00,2024-03-10 19:10:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,,,NOT FINAL
LY,342,EL AL ISRAEL AIRLINES,2024-03-10 19:10:00,2024-03-10 19:10:00,A,GVA,GENEVA,GENEVA,SWITZERLAND,3,,,NOT FINAL
LY,543,EL AL ISRAEL AIRLINES,2024-03-10 19:15:00,2024-03-10 19:15:00,D,ATH,ATHENS,ATHENS,GREECE,3,78-99,D,ON TIME
6H,142,ISRAIR AIRLINES,2024-03-10 19:15:00,2024-03-10 19:15:00,A,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,,,NOT FINAL
LY,5108,EL AL ISRAEL AIRLINES,2024-03-10 19:20:00,2024-03-10 19:20:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,,,NOT FINAL
AI,139,AIR INDIA,2024-03-10 19:25:00,2024-03-10 19:25:00,A,DEL,DELHI,NEW DELHI,INDIA,3,,,NOT FINAL
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-03-10 19:40:00,2024-03-10 19:40:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,ON TIME
AA,9259,AMERICAN AIRLINES,2024-03-10 20:00:00,2024-03-10 20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
AM,7862,AERO MEXICO,2024-03-10 20:00:00,2024-03-10 20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
LY,324,EL AL ISRAEL AIRLINES,2024-03-10 20:00:00,2024-03-10 20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
SK,3160,SAS,2024-03-10 20:00:00,2024-03-10 20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
5F,448,FLYONE,2024-03-10 20:00:00,2024-03-10 20:00:00,D,RMO,CHISINAU,CHISINAU,MOLDOVA,3,44-47,B,ON TIME
6H,891,ISRAIR AIRLINES,2024-03-10 20:00:00,2024-03-10 20:00:00,D,TBS,TBILISI,TBILISI,GEORGIA,3,52-55,B,ON TIME
U8,102,TUS AIRWAYS,2024-03-10 20:20:00,2024-03-10 20:20:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
LY,5133,EL AL ISRAEL AIRLINES,2024-03-10 20:30:00,2024-03-10 20:30:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,78-99,D,ON TIME
W4,8287,WIZZ AIR MALTA,2024-03-10 20:35:00,2024-03-10 20:35:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
AA,9260,AMERICAN AIRLINES,2024-03-10 21:05:00,2024-03-10 21:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
LY,316,EL AL ISRAEL AIRLINES,2024-03-10 21:05:00,2024-03-10 21:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
AI,140,AIR INDIA,2024-03-10 21:10:00,2024-03-10 21:10:00,D,DEL,DELHI,NEW DELHI,INDIA,3,56-62,C,ON TIME
IZ,552,ARKIA  ISRAELI  AIRLINES,2024-03-10 21:20:00,2024-03-10 21:20:00,A,RVN,ROVANIEMI,ROVANIEMI,FINLAND,3,,,NOT FINAL
LY,974,EL AL ISRAEL AIRLINES,2024-03-10 21:25:00,2024-03-10 21:25:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
W4,8288,WIZZ AIR MALTA,2024-03-10 21:25:00,2024-03-10 21:25:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,39-42,B,ON TIME
IZ,162,ARKIA  ISRAELI  AIRLINES,2024-03-10 21:35:00,2024-03-10 21:35:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-03-10 21:45:00,2024-03-10 21:45:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
LY,5130,EL AL ISRAEL AIRLINES,2024-03-10 21:50:00,2024-03-10 21:50:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,,,NOT FINAL
6H,723,ISRAIR AIRLINES,2024-03-10 21:50:00,2024-03-10 21:50:00,D,SOF,SOFIA,SOFIA,BULGARIA,3,49-52,B,ON TIME
H7,457,HISKY,2024-03-10 22:00:00,2024-03-10 22:00:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,,,NOT FINAL
LY,081,EL AL ISRAEL AIRLINES,2024-03-10 22:00:00,2024-03-10 22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,ON TIME
QF,5020,QANTAS AIRWAYS,2024-03-10 22:00:00,2024-03-10 22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,ON TIME
TG,4584,THAI AIRWAYS,2024-03-10 22:00:00,2024-03-10 22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,ON TIME
