Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
AA,8374,2022-03-08 05:50:00,2022-03-08 06:02:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,319,2022-03-08 05:50:00,2022-03-08 06:02:00,D,CDG,PARIS,FRANCE,3,DEPARTED
IZ,551,2022-03-08 05:30:00,2022-03-08 06:06:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED
DL,5936,2022-03-08 06:05:00,2022-03-08 06:15:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
VS,454,2022-03-08 06:05:00,2022-03-08 06:15:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AA,8851,2022-03-08 06:00:00,2022-03-08 06:16:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,3317,2022-03-08 06:00:00,2022-03-08 06:16:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,8397,2022-03-08 06:00:00,2022-03-08 06:16:00,D,MAD,MADRID,SPAIN,3,DEPARTED
VY,5270,2022-03-08 06:00:00,2022-03-08 06:16:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AA,8388,2022-03-08 06:10:00,2022-03-08 06:19:00,D,FCO,ROME,ITALY,3,DEPARTED
AR,7877,2022-03-08 06:10:00,2022-03-08 06:19:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,385,2022-03-08 06:10:00,2022-03-08 06:19:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8898,2022-03-08 06:10:00,2022-03-08 06:19:00,D,FCO,ROME,ITALY,3,DEPARTED
IZ,603,2022-03-08 06:05:00,2022-03-08 06:25:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
TK,7711,2022-03-08 06:10:00,2022-03-08 06:27:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED
OS,860,2022-03-08 06:15:00,2022-03-08 06:28:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
AR,7850,2022-03-08 06:45:00,2022-03-08 06:33:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,018,2022-03-08 06:45:00,2022-03-08 06:33:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LAU,N800T,2022-03-09 06:30:00,2022-03-08 06:36:00,D,BAH,BAHRAIN,BAHRAIN,3,DEPARTED
FB,572,2022-03-08 06:20:00,2022-03-08 06:40:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
6H,041,2022-03-08 06:30:00,2022-03-08 06:48:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
IZ,801,2022-03-08 06:30:00,2022-03-08 06:51:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
SU,500,2022-03-08 06:55:00,2022-03-08 06:55:00,A,SVO,MOSCOW,RUSSIAN FEDERATION,3,CANCELED
